,name,price,description,size,abv,list_of_flavors,style_list,avg_rating,num_rating,subtitle,current_date,product_link
63,Hinch Small Batch Bourbon Cask Irish Whiskey,£35.75,"A small batch Irish whiskey from Hinch that has been matured in ex-bourbon casks, this has notes of creamy vanilla, honey-nut cornflakes and lively citrus throughout the palate.",70cl,43%,"['Vanilla ', 'Cinnamon', 'Lemon', 'Hazelnut', 'Honey ', 'Cream']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,3,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/49940/hinch-small-batch-bourbon-cask-irish-whiskey
64,Hinch Peated Single Malt Whiskey,£39.25,"A heavily-peated single malt Irish whiskey from Hinch distillery that was triple distilled and matured in specially-selected oak casks. Aromas of sweet tar, rich smoke, woody spice and malt fill the nose, complemented by notes of aromatic peat, raisins, sultanas, liquorice and rich smoke throughout the palate.",70cl,43%,"['Liquorice root', 'Raisins ', 'Tar', 'Smoke', 'Malt', 'Oak']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/66463/hinch-peated-single-malt-whiskey
65,Hinch 10 Year Old Sherry Cask Finished Irish Whiskey,£52.75,"Made by Hinch Distilling Co in Ireland, this 10 Year Old whiskey has been matured in American oak casks, before being finished for at least six months in Oloroso sherry casks from Jerez. A rich, sweet whiskey, it has notes of dried fruit, raisings and creamy vanilla throughout the palate.",70cl,43%,None,None,4,1,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/49942/hinch-10-year-old-sherry-cask-finished-irish-whiskey
66,Hinch 5 Year Old Double Wood Irish Whiskey,£42.25,"From Irish bottler Hinch, this 5-year-old Double Wood has been matured in ex-bourbon casks and finished for at least a year in virgin American oak barrels. It is a smooth, sweet whiskey with notes of vanilla, cinnamon and oak spice throughout the palate.",70cl,43%,None,None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/49941/hinch-5-year-old-double-wood-irish-whiskey
67,"The Irishman Single Malt
2022 Relaunch",£45.45,"A triple-distilled Irish single malt whiskey from The Irishman that has been matured in a combination of ex-bourbon and ex-oloroso sherry casks. Aromas of juicy peaches, dried apricot, tropical fruits, orange blossom and vanilla fudge fill the nose, complemented by notes of vanilla, toasted almonds, honey, crunchy granola, digestive biscuits, rich malt and peppery oak spice throughout the palate.",70cl,40%,"['Apple', 'Peach', 'Almond', 'Honey ', 'Malt', 'Biscuits']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/65055/the-irishman-single-malt-2022-relaunch
68,The Irishman Caribbean Rum Cask Finish,£52.75,"A fruity, exotic Irish whiskey from The Irishman that was initially matured in American oak ex-bourbon barrels and finished in Caribbean rum barrels from the island of St Lucia. Aromas of apricots, summer fruits, pineapple and ginger fill the nose, complemented by notes of mango, banana, pineapple, figs, ginger, cinnamon, vanilla and white pepper throughout the palate.",70cl,46%,"['Ginger', 'Figs', 'Peach', 'Apricot', 'Banana', 'Mango']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/67216/the-irishman-caribbean-rum-cask-finish
69,The Irishman 12 Year Old Single Malt,£63.45,"The Irishman 12 Year Old Single Malt is aged exclusively in first-fill bourbon casks. Limited to 6,000 bottles each year, this is malty and fruity.

Tasting Notes (1)",70cl,43%,"['Vanilla ', 'Black Pepper', 'Grass', 'Pear ', 'Apple', 'Malt']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,2,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/23873/the-irishman-12-year-old-single-malt
70,The Irishman The Harvest,£38.25,"Previously known as Founder's Reserve, The Harvest blended Irish whiskey from The Irishman is made with a combination of 70% single malt and 30% single pot still whiskey and matured in American oak ex-bourbon barrels. Aromas of white pepper, green apples, pears, zesty spices and citrus fill the nose, complemented by notes of ripe fruits, vanilla, butterscotch, toffee, cracked peppercorns, nutmeg and clove throughout the palate and lingering in the finish.",70cl,40%,"['Vanilla ', 'Black Pepper', 'Nutmeg', 'Pear ', 'Apple', 'Butterscotch']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/65054/the-irishman-the-harvest
71,"The Irishman Cask Strength
Bot.2021",£97.95,"The 2021 release of The Irishman Cask Strength Irish whiskey has been matured in specially-selected American oak casks, creating aromas of candied oranges and cherries that fill the nose. The palate offers notes of clove, nutmeg, toasted hazelnuts and fresh berries that linger in the finish.",70cl,54.8%,"['Nutmeg', 'Clove', 'Orange ', 'Cherry', 'Hazelnut']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/64016/the-irishman-cask-strength-bot2021
72,"The Irishman 2004 Single Malt
17 Year Old Sherry Cask",£225,"A 17-year-old Irish single malt whiskey from The Irishman, matured in first-fill sherry casks, creating aromas of dark chocolate, dried fruit and honey on the nose, complemented by notes of toasted oak, raisins, sherry, roasted hazelnuts and dark chocolate.",70cl,56%,"['Raisins ', 'Dates', 'Hazelnut', 'Dark Chocolate', 'Oak', 'Dried Fruit']",None,None,None,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60683/the-irishman-2004-single-malt-17-year-old-sherry-cask
